item_id,category,device_name,brand,department,purchase_year,age_years,weight_kg,condition_score,condition_class,power_watts,status,recommended_action,date_collected,contains_hazardous,replacement_cost,embodied_energy_kwh
EW-2026-0101,Storage,Crucial WD Red Plus 4TB HDD,Crucial,Customer Operations,2014,12,0.61,6,Fair,6.2,In Use,Recycle,2024-07-19,No,110,100
EW-2026-0102,Networking,Juniper TL-SG1024 24-Port Switch,Juniper,Sales & Marketing,2019,7,2.2,7,Good,16.4,Processed,Reuse,2025-07-27,No,110,250
EW-2026-0103,Computer,"ASUS MacBook Pro 16""",ASUS,Customer Operations,2015,11,2.25,8,Good,103.7,Collected,Reuse,2025-03-01,No,2400,1200
EW-2026-0104,Mobile Device,Xiaomi Redmi Note 10 Pro,Xiaomi,Software Engineering,2023,3,0.17,9,Good,5.4,Collected,Reuse,2024-10-26,No,279,70
EW-2026-0105,Storage,Seagate Samsung 970 EVO 1TB SSD,Seagate,Hardware R&D,2016,10,0.08,8,Good,2.9,Collected,Reuse,2024-05-14,No,120,80
EW-2026-0106,Battery,CyberPower ThinkPad Internal Battery,CyberPower,Finance & Accounting,2018,8,0.28,6,Fair,0.0,Collected,Repair,2026-01-30,No,60,40
EW-2026-0107,Battery,HP CP1500PFCLCD UPS,HP,Sales & Marketing,2017,9,9.61,5,Fair,7.4,In Use,Recycle,2026-01-01,No,280,250
EW-2026-0108,Networking,Juniper Nighthawk AX12 Router,Juniper,Customer Operations,2023,3,1.5,6,Fair,17.4,Collected,Recycle,2024-08-24,No,350,200
EW-2026-0109,Mobile Device,Xiaomi Galaxy S21 Ultra,Xiaomi,Hardware R&D,2016,10,0.26,1,Hazardous,5.7,In Use,Dispose,2025-07-15,Yes,1199,80
EW-2026-0110,Monitor,"BenQ BenQ GW2780 27""",BenQ,Software Engineering,2024,2,3.67,4,Fair,22.6,Processed,Recycle,2024-09-28,No,230,750
EW-2026-0111,Computer,"Apple iMac 27"" Retina",Apple,IT Operations & Security,2016,10,10.6,5,Fair,137.4,In Use,Recycle,2024-03-23,No,1800,1200
EW-2026-0112,Monitor,"BenQ UltraSharp U2422H 24""",BenQ,Finance & Accounting,2013,13,3.79,6,Fair,21.4,In Use,Recycle,2025-01-07,No,250,750
EW-2026-0113,Mobile Device,Google Galaxy Tab S7,Google,IT Operations & Security,2022,4,0.57,1,Hazardous,7.5,In Use,Dispose,2025-10-11,Yes,649,100
EW-2026-0114,Storage,Western Digital WD Red Plus 4TB HDD,Western Digital,Hardware R&D,2017,9,0.58,7,Good,5.5,Collected,Reuse,2024-09-13,No,110,100
EW-2026-0115,Mobile Device,Samsung Galaxy S21 Ultra,Samsung,Finance & Accounting,2014,12,0.23,9,Good,5.7,In Use,Reuse,2025-10-04,No,1199,80
EW-2026-0116,Battery,Eaton Back-UPS Pro BR1500MS,Eaton,Hardware R&D,2019,7,10.45,5,Fair,7.3,Processed,Recycle,2025-05-13,No,300,250
EW-2026-0117,Networking,Cisco Catalyst 9300 48-Port Switch,Cisco,Customer Operations,2022,4,6.21,10,Good,75.6,Processed,Reuse,2025-05-26,No,4500,500
EW-2026-0118,Networking,TP-Link TL-SG1024 24-Port Switch,TP-Link,Human Resources,2022,4,1.99,8,Good,16.0,In Use,Reuse,2025-07-19,No,110,250
EW-2026-0119,Storage,Western Digital Crucial MX500 2TB SSD,Western Digital,Human Resources,2020,6,0.11,1,Hazardous,4.2,Collected,Dispose,2025-03-06,No,180,80
EW-2026-0120,Peripheral,HP LaserJet Pro MFP M428fdw,HP,IT Operations & Security,2020,6,14.82,9,Good,49.1,Processed,Reuse,2025-02-08,No,450,300
EW-2026-0121,Storage,Western Digital Samsung 970 EVO 1TB SSD,Western Digital,Customer Operations,2014,12,0.09,6,Fair,3.1,In Use,Recycle,2025-11-03,No,120,80
EW-2026-0122,Monitor,"BenQ Samsung S24R350 24""",BenQ,IT Operations & Security,2021,5,2.84,1,Hazardous,20.6,In Use,Dispose,2024-05-19,No,180,750
EW-2026-0123,Mobile Device,Xiaomi iPad Air (4th Gen),Xiaomi,Customer Operations,2020,6,0.39,6,Fair,8.3,Collected,Repair,2024-11-30,No,599,100
EW-2026-0124,Computer,HP EliteDesk 800 G6 Desktop,HP,Human Resources,2019,7,7.35,1,Hazardous,172.0,Processed,Dispose,2025-02-14,Yes,900,1200
EW-2026-0125,Peripheral,Logitech Canon imageCLASS LBP6030w,Logitech,Human Resources,2013,13,5.31,10,Good,39.1,In Use,Reuse,2024-03-05,No,150,200
EW-2026-0126,Battery,CyberPower CP1500PFCLCD UPS,CyberPower,Finance & Accounting,2017,9,13.12,1,Hazardous,8.2,Collected,Dispose,2025-10-04,Yes,280,250
EW-2026-0127,Mobile Device,Samsung Pixel 6 Pro,Samsung,IT Operations & Security,2017,9,0.22,10,Good,4.8,Collected,Reuse,2024-02-02,No,899,80
EW-2026-0128,Battery,APC CP1500PFCLCD UPS,APC,Customer Operations,2017,9,10.13,8,Good,8.0,Processed,Reuse,2024-04-10,No,280,250
EW-2026-0129,Battery,APC CP1500PFCLCD UPS,APC,IT Operations & Security,2018,8,13.08,9,Good,8.0,Collected,Reuse,2025-03-15,No,280,250
EW-2026-0130,Battery,Dell ThinkPad Internal Battery,Dell,Customer Operations,2015,11,0.24,10,Good,0.0,Collected,Reuse,2024-08-17,No,60,40
EW-2026-0131,Peripheral,Logitech Canon imageCLASS LBP6030w,Logitech,IT Operations & Security,2019,7,5.31,1,Hazardous,43.7,In Use,Dispose,2025-07-21,Yes,150,200
EW-2026-0132,Storage,Kingston Samsung 970 EVO 1TB SSD,Kingston,IT Operations & Security,2022,4,0.09,4,Fair,2.8,Collected,Repair,2024-03-03,No,120,80
EW-2026-0133,Mobile Device,Apple Pixel 6 Pro,Apple,Finance & Accounting,2018,8,0.2,5,Fair,5.3,Processed,Recycle,2024-10-10,No,899,80
EW-2026-0134,Monitor,"Dell ViewSonic VG2448 24""",Dell,Customer Operations,2018,8,3.09,4,Fair,19.4,Processed,Recycle,2026-01-28,No,200,750
EW-2026-0135,Battery,HP Eaton 5S 1500VA UPS,HP,Hardware R&D,2013,13,11.68,5,Fair,7.5,Processed,Repair,2024-04-20,No,260,250
EW-2026-0136,Mobile Device,Xiaomi Galaxy Tab S7,Xiaomi,Customer Operations,2017,9,0.47,10,Good,8.2,Processed,Reuse,2024-12-02,No,649,100
EW-2026-0137,Battery,HP Laptop Battery 62Wh,HP,Customer Operations,2022,4,0.36,6,Fair,0.0,In Use,Recycle,2025-12-05,No,70,50
EW-2026-0138,Battery,APC ThinkPad Internal Battery,APC,IT Operations & Security,2015,11,0.22,9,Good,0.0,Collected,Reuse,2024-04-20,No,60,40
EW-2026-0139,Networking,Cisco Juniper EX2300 Switch,Cisco,Hardware R&D,2022,4,3.7,10,Good,50.3,Collected,Reuse,2024-01-01,No,1200,400
EW-2026-0140,Storage,Crucial IronWolf 6TB NAS HDD,Crucial,Sales & Marketing,2020,6,0.77,4,Fair,8.5,In Use,Repair,2024-12-29,No,150,100
EW-2026-0141,Mobile Device,Samsung Redmi Note 10 Pro,Samsung,Sales & Marketing,2023,3,0.21,9,Good,4.7,Processed,Reuse,2025-12-25,No,279,70
EW-2026-0142,Mobile Device,Xiaomi Pixel 6 Pro,Xiaomi,Human Resources,2015,11,0.2,1,Hazardous,5.1,Processed,Dispose,2024-10-28,Yes,899,80
EW-2026-0143,Computer,ASUS EliteBook 840 G8 Laptop,ASUS,Customer Operations,2018,8,1.18,10,Good,70.0,In Use,Reuse,2025-07-28,No,1300,1200
EW-2026-0144,Peripheral,Epson A4Tech FK10 Keyboard,Epson,Sales & Marketing,2024,2,0.54,2,Poor,1.9,Processed,Recycle,2025-03-27,No,12,20
EW-2026-0145,Peripheral,A4Tech MX Keys & Master 3 Combo,A4Tech,Finance & Accounting,2014,12,0.7,8,Good,5.3,In Use,Reuse,2024-12-16,No,200,50
EW-2026-0146,Peripheral,Canon MX Keys & Master 3 Combo,Canon,Sales & Marketing,2017,9,0.92,10,Good,5.0,Processed,Reuse,2024-02-02,No,200,50
EW-2026-0147,Battery,CyberPower CP1500PFCLCD UPS,CyberPower,IT Operations & Security,2015,11,13.35,10,Good,7.3,Processed,Reuse,2024-06-15,No,280,250
EW-2026-0148,Peripheral,HP K120 Wired Keyboard,HP,Finance & Accounting,2023,3,0.5,1,Hazardous,2.1,In Use,Dispose,2024-04-26,No,15,20
EW-2026-0149,Monitor,"Dell BenQ GW2780 27""",Dell,Customer Operations,2020,6,5.23,7,Good,26.3,In Use,Reuse,2025-12-22,No,230,750
EW-2026-0150,Battery,APC CP1500PFCLCD UPS,APC,Finance & Accounting,2014,12,11.17,7,Good,8.4,Processed,Reuse,2024-04-25,No,280,250
EW-2026-0151,Storage,Seagate Crucial MX500 2TB SSD,Seagate,IT Operations & Security,2016,10,0.11,7,Good,4.4,Processed,Reuse,2024-06-01,No,180,80
EW-2026-0152,Mobile Device,Xiaomi Galaxy S21 Ultra,Xiaomi,Finance & Accounting,2015,11,0.21,7,Good,6.0,Collected,Reuse,2024-06-19,No,1199,80
EW-2026-0153,Computer,ASUS ThinkCentre M90q Tiny,ASUS,Software Engineering,2015,11,1.23,4,Fair,87.0,In Use,Recycle,2025-09-12,No,750,1200
EW-2026-0154,Battery,Dell ThinkPad Internal Battery,Dell,Human Resources,2015,11,0.25,3,Poor,0.0,Processed,Dispose,2024-12-10,Yes,60,40
EW-2026-0155,Peripheral,Canon MX Keys & Master 3 Combo,Canon,IT Operations & Security,2024,2,0.77,7,Good,4.6,Processed,Reuse,2026-02-17,No,200,50
EW-2026-0156,Peripheral,A4Tech A4Tech FK10 Keyboard,A4Tech,Software Engineering,2022,4,0.59,6,Fair,2.0,Processed,Recycle,2024-06-25,No,12,20
EW-2026-0157,Networking,Cisco Catalyst 9300 48-Port Switch,Cisco,Sales & Marketing,2021,5,7.19,9,Good,87.0,In Use,Reuse,2024-07-01,No,4500,500
EW-2026-0158,Mobile Device,Xiaomi iPad Air (4th Gen),Xiaomi,Sales & Marketing,2019,7,0.48,1,Hazardous,7.9,Collected,Dispose,2024-09-17,No,599,100
EW-2026-0159,Mobile Device,Google Galaxy Tab S7,Google,Finance & Accounting,2015,11,0.57,5,Fair,7.4,Collected,Recycle,2024-12-12,No,649,100
EW-2026-0160,Peripheral,A4Tech LaserJet Pro MFP M428fdw,A4Tech,Human Resources,2014,12,10.49,5,Fair,48.6,Collected,Recycle,2024-07-10,No,450,300
